row_num,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
58990,2020-07-12 01:43:23,501882822387,fraud_Schamberger-O'Keefe,grocery_pos,278.32,Melissa,Phillips,F,5069 Scott Pass Apt. 654,Meadville,MS,39653,31.4285,-90.8578,2799,"Therapist, horticultural",1961-01-21,def714c6b53b2c2b5066242ad5eb5d6e,1373593403,31.110229,-90.295183,1
909474,2019-12-28 23:40:02,4048508450704760,"fraud_Schroeder, Hauck and Treutel",entertainment,510.95,Cheryl,Melton,F,5053 Bell Crescent Apt. 255,Fullerton,NE,68638,41.36600000000001,-98.0054,1749,"Surveyor, mining",1973-05-07,87da30b25ab9eee884d3aa384a01ffbc,1356738002,40.771343,-98.692373,1
19739,2019-01-13 00:14:26,4666314527820883145,fraud_Kiehn-Emmerich,grocery_pos,320.6,Guy,Thompson,M,5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202,"Solicitor, Scotland",1974-06-21,98649f992d93377c62c09e51a1bd2cc9,1326413666,41.867565,-99.096279,1
391951,2019-06-28 18:07:31,3576511691045060,fraud_Hermann and Sons,shopping_pos,1124.86,Leah,Garner,F,147 Mckinney Run Apt. 743,Ehrhardt,SC,29081,33.1044,-81.0221,1352,"Engineer, materials",1992-10-08,e0668b9f7fe72daf20f92ee97b222d98,1340906851,33.917958,-80.833113,1
1059393,2020-03-15 23:45:29,4208110975550360171,"fraud_Langworth, Boehm and Gulgowski",shopping_net,1107.33,David,Bonilla,M,82073 Jessica Camp,West Green,GA,31567,31.6143,-82.7243,782,Audiological scientist,1982-01-16,42ca4420f823194415f9509d3532578e,1363391129,32.511152,-81.900261,1
265636,2020-09-27 18:19:40,6011367958204270,"fraud_Streich, Dietrich and Barton",shopping_net,18.38,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,ffab27584df650a158291e1622cd518c,1380305980,40.787637,-82.679138,0
424773,2019-07-09 16:45:16,3537797820923602,"fraud_Turner, Ziemann and Lehner",food_dining,153.84,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,98836,47.4852,-120.4158,584,Medical technical officer,1969-03-20,efc848e591b27c7e7496a17d8c246426,1341852316,46.950979,-119.569824,0
16575,2020-06-27 03:48:35,6544734391390261,fraud_Hackett-Lueilwitz,grocery_pos,294.78,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,d5ae7acabb0e7eac640e72d0e5c0528f,1372304915,41.505282,-86.715398,1
1206799,2020-05-19 09:25:17,639077309909,fraud_Heller-Langosh,gas_transport,11.02,Justin,Carter,M,853 Miller Bypass Suite 802,Broomfield,CO,80021,39.8854,-105.1139,92337,"Engineer, electronics",1967-10-18,4347d630f0ee8ab802a16651b824cc6e,1368955517,39.320012,-104.909823,1
135959,2019-03-16 00:45:40,6011552879910390,fraud_Ledner-Pfannerstill,gas_transport,7.52,Robert,Long,M,529 Joshua Knoll Apt. 511,Lonetree,WY,82936,41.0552,-110.1603,49,Research scientist (physical sciences),1981-07-05,251d78b718f0e5bada2ec1cfb408a5be,1331858740,41.573646,-110.021844,1
21876,2019-01-14 02:13:19,4789911625179723,fraud_Buckridge PLC,misc_pos,8.56,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27,aa7a4c06c800ce55c00dba633f3163da,1326507199,40.813814,-73.4205,1
332777,2019-06-07 15:52:13,30197398657930,fraud_Cruickshank-Mills,entertainment,42.97,April,Johnson,F,9727 Deleon Mountain,Creedmoor,NC,27522,36.1124,-78.6476,12335,Chief Strategy Officer,1987-09-19,3484cc85946205a0b1e3d7b5d66009ca,1339084333,36.454552,-78.021642,0
229018,2019-04-26 00:27:23,378278619832195,fraud_Kutch and Sons,grocery_pos,262.56,Mary,Mcintyre,F,77921 Costa Villages,Eugene,OR,97403,44.0385,-123.0614,191096,"Scientist, physiological",1964-04-06,66a9450c3ee964a79ea74cf3bb0ba811,1335400043,44.563191,-123.25377,1
681697,2019-10-18 03:16:48,675909898057,fraud_Koss and Sons,gas_transport,7.04,Christopher,Henry,M,1198 Robert Stravenue Apt. 479,Armonk,NY,10504,41.136,-73.7009,7987,Television/film/video producer,1964-03-16,5ae48ff5d6211d60905290b51318d42c,1350530208,40.462262,-73.705567,1
1292903,2020-06-19 23:37:34,4482427013979020,"fraud_Kihn, Abernathy and Douglas",shopping_net,1060.31,Leslie,Ford,F,4938 Hatfield Course,Henderson,WV,25106,38.8265,-82.1364,642,Building services engineer,1946-08-30,92bae9c71fe254f29f6760932b7ef0e4,1371685054,39.051023,-82.83667700000001,1
1250622,2020-06-04 22:01:55,3502088871723054,fraud_Pfeffer and Sons,shopping_pos,877.44,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,6aa602ddd39d6216eba47c8775df11b4,1370383315,39.379776,-77.75380600000001,1
958225,2020-01-20 08:10:33,6538891242532018,"fraud_Goyette, Howell and Collier",shopping_pos,751.85,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",1977-03-23,80d53a301f86ab1fb36a49f559f18955,1358669433,35.890224,-90.774805,1
751491,2019-11-17 16:48:20,30234966027947,fraud_Mohr Inc,shopping_pos,6.05,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,bb80eb130b851ae2c7021f30507d41a0,1353170900,43.305107,-87.518536,0
117373,2019-03-07 15:32:23,30501624614310,"fraud_Windler, Goodwin and Kovacek",home,261.36,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1973-05-04,992d3d7bc95273c295e7b949d5020a60,1331134343,32.882521000000004,-81.88486999999999,1
359492,2020-11-08 01:03:01,630469040731,fraud_Kutch and Sons,grocery_pos,326.03,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1936-05-01,c1d6a28bc8e919c9730556fa5fd706c8,1383872581,45.970483,-122.519803,1
31174,2019-01-19 16:58:58,3541554378551366,"fraud_Hahn, Douglas and Schowalter",travel,9.5,Brianna,Wilson,F,257 Victor Stravenue,Hampton,VA,23666,37.0462,-76.4096,136895,Accounting technician,1939-09-19,b640319b274012044023559989500ef5,1326992338,38.007953,-76.34404,1
1220254,2020-05-25 08:52:53,4497913965512794052,"fraud_Konopelski, Schneider and Hartmann",food_dining,98.8,Scott,Edwards,M,838 Amy Street Suite 107,Pembroke,NC,28372,34.6902,-79.1834,14783,Hospital doctor,1955-11-07,6f9c215df8393c5d830b83faeec957a9,1369471973,35.66087,-79.175226,0
306270,2020-10-15 01:30:41,3527063666782582,fraud_DuBuque LLC,grocery_pos,298.17,Amanda,Alexander,F,21810 James Mall,Camden,TX,75934,30.9,-94.7547,99,Colour technologist,1965-11-21,731c0f625d2af8d8361f52cbcafda37d,1381800641,31.742125,-95.133336,1
1283350,2020-06-16 03:31:47,3501509250702469,fraud_Smitham-Schiller,grocery_net,44.48,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,125b336d14aac74fc5c7130874c56efe,1371353507,25.541861,-82.19681700000001,0
1003060,2020-02-16 02:39:41,30235438713303,fraud_Vandervort-Funk,grocery_pos,262.35,James,Baldwin,M,3603 Mitchell Court,Winfield,WV,25213,38.5072,-81.89,5512,Exhibition designer,1980-03-24,8299ff1229fb9be5577098a31443aa84,1360982381,38.595303,-82.68418199999999,1
